,CreatedTime,Bp
530,0911.19:02:12.064210195,56.560534591195
531,0911.19:02:12.064518387,98.423742138365
532,0911.19:02:13.086062049,58.618317610063
533,0911.19:02:13.086329615,95.393081761006
534,0911.19:02:13.086610546,63.814858490566
535,0911.19:02:13.089272835,80.764544025157
536,0911.19:02:14.11298467,74.172562893082
537,0911.19:02:14.113270175,66.994889937107
538,0911.19:02:14.113552364,89.819182389937
539,0911.19:02:14.116199296,61.762971698113
540,0911.19:02:15.135987286,107.92059748428
541,0911.19:02:15.136257837,65.149371069182
542,0911.19:02:15.137939928,107.87932389937
543,0911.19:02:15.138222118,69.551886792453
544,0911.19:02:16.160346755,95.518867924528
545,0911.19:02:16.160705431,80.558176100629
546,0911.19:02:16.162356417,74.577437106918
547,0911.19:02:16.162630928,100.04913522013
548,0911.19:02:17.184942863,61.114386792453
549,0911.19:02:17.18544436,106.42295597484
550,0911.19:02:17.187007995,61.825864779874
551,0911.19:02:17.187492805,92.729952830189
552,0911.19:02:18.212645869,73.240959119497
553,0911.19:02:18.213524732,78.73427672956
554,0911.19:02:18.214872741,98.579009433962
555,0911.19:02:18.214898973,65.239779874214
556,0911.19:02:19.235294718,112.64937106918
557,0911.19:02:19.235972595,63.588836477987
558,0911.19:02:19.237271056,108.56721698113
559,0911.19:02:19.237780704,66.187106918239
560,0911.19:02:20.266829529,92.055817610063
561,0911.19:02:20.266866762,80.058962264151
562,0911.19:02:20.266889135,74.544025157233
563,0911.19:02:20.269320455,105.91784591195
564,0911.19:02:21.281792079,63.836477987421
565,0911.19:02:21.282507694,116.46422955975
566,0911.19:02:21.293848284,65.805817610063
567,0911.19:02:21.294490769,101.11438679245
568,0911.19:02:22.307716928,76.147798742138
569,0911.19:02:22.307748833,69.563679245283
570,0911.19:02:22.307766284,101.36006289308
571,0911.19:02:22.308302085,59.337657232704
572,0911.19:02:23.334153692,108.76375786164
573,0911.19:02:23.334200589,65.184748427673
574,0911.19:02:23.335225916,98.238993710692
575,0911.19:02:23.335650019,81.25
576,0911.19:02:24.354441423,68.865959119497
577,0911.19:02:24.355376503,106.03183962264
578,0911.19:02:24.355880594,58.119103773585
579,0911.19:02:24.356431398,103.36871069182
580,0911.19:02:25.37945497,62.297562893082
581,0911.19:02:25.380648663,87.898977987421
